y,x,pred,err,merr,k,ctx_id,code_len
0,0,0,0,0,2,364,3
0,1,0,255,510,1,364,257
0,2,255,-255,509,2,360,130
0,3,1,254,508,7,364,11
0,4,254,-254,507,8,360,10
0,5,2,253,506,8,364,10
0,6,253,-253,505,8,360,10
0,7,3,252,504,8,364,10
1,0,0,255,510,2,688,130
1,1,255,-255,509,2,72,130
1,2,0,255,510,2,656,130
1,3,254,-254,507,8,72,10
1,4,1,254,508,8,656,10
1,5,253,-253,505,8,72,10
1,6,2,253,506,8,656,10
1,7,255,-255,509,2,396,130
2,0,255,-255,509,2,76,130
2,1,3,252,504,8,656,10
2,2,252,-252,503,8,72,10
2,3,4,251,502,8,656,10
2,4,251,-251,501,8,72,10
2,5,5,250,500,8,656,10
2,6,250,-250,499,8,72,10
2,7,0,255,510,2,332,130
3,0,1,254,508,8,688,10
3,1,249,-249,497,8,72,10
3,2,6,249,498,8,656,10
3,3,248,-248,495,8,72,10
3,4,7,248,496,8,656,10
3,5,247,-247,493,8,72,10
3,6,8,247,494,8,656,10
3,7,254,-254,507,8,396,10
4,0,254,-254,507,8,76,10
4,1,9,246,492,8,656,10
4,2,246,-246,491,8,72,10
4,3,10,245,490,8,656,10
4,4,245,-245,489,8,72,10
4,5,11,244,488,8,656,10
4,6,244,-244,487,8,72,10
4,7,1,254,508,8,332,10
5,0,2,253,506,8,688,10
5,1,243,-243,485,8,72,10
5,2,12,243,486,8,656,10
5,3,242,-242,483,8,72,10
5,4,13,242,484,8,656,10
5,5,241,-241,481,8,72,10
5,6,14,241,482,8,656,10
5,7,253,-253,505,8,396,10
6,0,253,-253,505,8,76,10
6,1,15,240,480,8,656,10
6,2,240,-240,479,8,72,10
6,3,16,239,478,8,656,10
6,4,239,-239,477,8,72,10
6,5,17,238,476,8,656,10
6,6,238,-238,475,8,72,10
6,7,2,253,506,8,332,10
7,0,3,252,504,8,688,10
7,1,237,-237,473,8,72,10
7,2,18,237,474,8,656,10
7,3,236,-236,471,8,72,10
7,4,19,236,472,8,656,10
7,5,235,-235,469,8,72,10
7,6,20,235,470,8,656,10
7,7,252,-252,503,8,396,10
