y,x,pred,err,merr,k,ctx_id,code_len
0,0,0,128,256,2,364,67
0,1,128,0,0,2,360,3
0,2,128,0,0,1,360,2
0,3,128,0,0,1,360,2
0,4,128,0,0,0,360,1
0,5,128,0,0,0,360,1
0,6,128,0,0,0,360,1
0,7,128,0,0,0,360,1
1,0,128,0,0,2,400,3
1,1,129,-1,1,7,364,8
1,2,129,-1,1,6,364,7
1,3,129,-1,1,6,364,7
1,4,129,-1,1,5,364,6
1,5,129,-1,1,5,364,6
1,6,129,-1,1,5,364,6
1,7,129,-1,1,5,364,6
2,0,128,0,0,1,400,2
2,1,129,-1,1,4,364,5
2,2,129,-1,1,4,364,5
2,3,129,-1,1,4,364,5
2,4,129,-1,1,4,364,5
2,5,129,-1,1,4,364,5
2,6,129,-1,1,4,364,5
2,7,129,-1,1,4,364,5
3,0,128,0,0,1,400,2
3,1,129,-1,1,4,364,5
3,2,129,-1,1,4,364,5
3,3,129,-1,1,4,364,5
3,4,129,-1,1,3,364,4
3,5,129,-1,1,3,364,4
3,6,129,-1,1,3,364,4
3,7,129,-1,1,3,364,4
4,0,128,0,0,0,400,1
4,1,129,-1,1,3,364,4
4,2,129,-1,1,3,364,4
4,3,129,-1,1,3,364,4
4,4,129,-1,1,3,364,4
4,5,129,-1,1,3,364,4
4,6,129,-1,1,3,364,4
4,7,129,-1,1,3,364,4
5,0,128,0,0,0,400,1
5,1,129,-1,1,3,364,4
5,2,129,-1,1,3,364,4
5,3,129,-1,1,3,364,4
5,4,129,-1,1,3,364,4
5,5,129,-1,1,3,364,4
5,6,129,-1,1,3,364,4
5,7,129,-1,1,3,364,4
6,0,128,0,0,0,400,1
6,1,129,-1,1,3,364,4
6,2,129,-1,1,3,364,4
6,3,129,-1,1,3,364,4
6,4,129,-1,1,3,364,4
6,5,129,-1,1,3,364,4
6,6,129,-1,1,3,364,4
6,7,129,-1,1,3,364,4
7,0,128,0,0,0,400,1
7,1,129,-1,1,2,364,3
7,2,129,-1,1,2,364,3
7,3,129,-1,1,2,364,3
7,4,129,-1,1,2,364,3
7,5,129,-1,1,2,364,3
7,6,129,-1,1,2,364,3
7,7,129,-1,1,2,364,3
