y,x,pred,err,merr,k,ctx_id,code_len
0,0,0,0,0,2,364,3
0,1,0,36,72,1,364,38
0,2,36,36,72,2,362,21
0,3,72,37,74,2,361,21
0,4,110,35,70,5,361,8
0,5,145,37,74,2,360,21
0,6,183,35,70,5,360,8
0,7,220,35,70,5,360,8
1,0,0,0,0,2,526,3
1,1,36,0,0,2,544,3
1,2,72,0,0,1,544,2
1,3,109,0,0,1,544,2
1,4,145,0,0,0,544,1
1,5,182,0,0,0,544,1
1,6,218,0,0,0,544,1
1,7,255,0,0,2,382,3
2,0,0,0,0,1,526,2
2,1,36,0,0,0,544,1
2,2,72,0,0,0,544,1
2,3,109,0,0,0,544,1
2,4,145,0,0,0,544,1
2,5,182,0,0,0,544,1
2,6,218,0,0,0,544,1
2,7,255,0,0,1,382,2
3,0,0,0,0,1,526,2
3,1,36,0,0,0,544,1
3,2,72,0,0,0,544,1
3,3,109,0,0,0,544,1
3,4,145,0,0,0,544,1
3,5,182,0,0,0,544,1
3,6,218,0,0,0,544,1
3,7,255,0,0,1,382,2
4,0,0,0,0,0,526,1
4,1,36,0,0,0,544,1
4,2,72,0,0,0,544,1
4,3,109,0,0,0,544,1
4,4,145,0,0,0,544,1
4,5,182,0,0,0,544,1
4,6,218,0,0,0,544,1
4,7,255,0,0,0,382,1
5,0,0,0,0,0,526,1
5,1,36,0,0,0,544,1
5,2,72,0,0,0,544,1
5,3,109,0,0,0,544,1
5,4,145,0,0,0,544,1
5,5,182,0,0,0,544,1
5,6,218,0,0,0,544,1
5,7,255,0,0,0,382,1
6,0,0,0,0,0,526,1
6,1,36,0,0,0,544,1
6,2,72,0,0,0,544,1
6,3,109,0,0,0,544,1
6,4,145,0,0,0,544,1
6,5,182,0,0,0,544,1
6,6,218,0,0,0,544,1
6,7,255,0,0,0,382,1
7,0,0,0,0,0,526,1
7,1,36,0,0,0,544,1
7,2,72,0,0,0,544,1
7,3,109,0,0,0,544,1
7,4,145,0,0,0,544,1
7,5,182,0,0,0,544,1
7,6,218,0,0,0,544,1
7,7,255,0,0,0,382,1
