y,x,pred,err,merr,k,ctx_id,code_len
0,0,0,255,510,2,364,130
0,1,255,-27,53,2,360,16
0,2,227,-193,385,4,360,29
0,3,34,87,174,2,362,46
0,4,121,122,244,2,361,64
0,5,241,-52,103,7,360,8
0,6,186,-180,359,7,360,10
0,7,7,124,248,8,364,9
1,0,255,-153,305,2,319,79
1,1,102,66,132,2,35,36
1,2,34,48,96,2,573,27
1,3,121,72,144,2,632,39
1,4,243,-56,111,2,226,30
1,5,187,-37,73,2,24,21
1,6,7,74,148,5,573,10
1,7,131,112,224,2,388,59
2,0,102,103,206,2,634,54
2,1,205,-181,361,2,145,93
2,2,24,212,424,2,584,109
2,3,236,-228,455,2,387,116
2,4,8,238,476,2,206,122
2,5,209,-45,89,2,101,25
2,6,95,136,272,2,660,71
2,7,243,-207,413,2,396,106
3,0,205,5,10,2,76,5
3,1,29,82,164,2,652,44
3,2,236,-64,127,2,73,34
3,3,8,202,404,2,655,104
3,4,246,-72,143,2,153,38
3,5,164,12,24,2,583,9
3,6,231,-13,25,2,66,9
3,7,36,206,412,2,329,106
4,0,210,-41,81,2,157,23
4,1,111,3,6,2,501,4
4,2,172,33,66,2,544,19
4,3,210,-147,293,2,218,76
4,4,63,97,194,2,350,51
4,5,162,-115,229,2,527,60
4,6,89,123,246,2,467,64
4,7,236,-157,313,2,373,81
5,0,169,-97,193,2,238,51
5,1,72,40,80,2,592,23
5,2,203,-83,165,2,67,44
5,3,63,159,318,2,574,82
5,4,222,-153,305,2,144,79
5,5,47,-16,31,2,664,10
5,6,196,-101,201,2,77,53
5,7,79,29,58,2,331,17
6,0,72,-36,71,2,553,20
6,1,76,33,66,2,465,19
6,2,117,121,242,2,616,63
6,3,238,-169,337,2,64,87
6,4,69,-18,35,2,170,11
6,5,31,50,100,2,590,28
6,6,95,133,266,2,470,69
6,7,228,-17,33,2,369,11
7,0,36,166,332,2,625,86
7,1,202,-144,287,2,711,74
7,2,187,15,30,2,78,10
7,3,69,-4,7,2,249,4
7,4,51,25,50,2,436,15
7,5,81,-11,21,2,696,8
7,6,217,-24,47,2,320,14
7,7,193,-89,177,2,357,47
