y,x,pred,err,merr,k,ctx_id,code_len
0,0,0,113,226,2,364,59
0,1,113,1,2,2,361,3
0,2,115,2,4,2,361,4
0,3,119,-4,7,2,361,4
0,4,116,1,2,2,361,3
0,5,118,-1,1,2,361,3
0,6,118,-4,7,2,361,4
0,7,115,4,8,2,361,5
0,8,120,-3,5,2,361,4
0,9,118,-1,1,2,361,3
0,10,118,1,2,2,361,3
0,11,120,-2,3,2,361,3
0,12,119,-1,1,2,361,3
0,13,119,-2,3,2,361,3
0,14,118,-1,1,2,361,3
0,15,118,0,0,2,361,3
0,16,119,-4,7,1,361,5
0,17,116,-2,3,2,361,3
0,18,115,-1,1,2,361,3
0,19,115,-1,1,2,361,3
0,20,115,-1,1,1,361,2
0,21,115,-4,7,1,361,5
0,22,111,2,4,2,361,4
0,23,113,-5,9,2,361,5
0,24,108,-4,7,2,361,4
0,25,104,-1,1,2,361,3
0,26,103,-1,1,2,361,3
0,27,102,-7,13,2,361,6
0,28,95,-8,15,2,361,6
0,29,87,-5,9,2,361,5
0,30,81,-3,5,2,361,4
0,31,77,2,4,2,361,4
0,32,78,2,4,2,361,4
0,33,79,0,0,2,361,3
0,34,78,-2,3,2,361,3
0,35,75,3,6,2,361,4
0,36,77,0,0,2,361,3
0,37,76,2,4,2,361,4
0,38,78,0,0,2,361,3
0,39,78,-2,3,2,361,3
0,40,76,0,0,2,361,3
0,41,76,-1,1,2,361,3
0,42,75,1,2,2,361,3
0,43,76,-3,5,2,361,4
0,44,73,3,6,2,361,4
0,45,76,1,2,2,361,3
0,46,77,-1,1,2,361,3
0,47,76,0,0,2,361,3
0,48,76,0,0,2,361,3
0,49,76,-3,5,2,361,4
0,50,73,3,6,2,361,4
0,51,76,-2,3,2,361,3
0,52,74,-1,1,2,361,3
0,53,73,3,6,2,361,4
0,54,76,0,0,2,361,3
0,55,76,-3,5,2,361,4
0,56,73,-1,1,2,361,3
0,57,72,2,4,2,361,4
0,58,74,-1,1,2,361,3
0,59,73,2,4,2,361,4
0,60,75,1,2,2,361,3
0,61,76,-2,3,2,361,3
0,62,74,-1,1,2,361,3
0,63,73,0,0,2,361,3
0,64,73,0,0,2,361,3
0,65,73,0,0,1,361,2
0,66,73,0,0,1,361,2
0,67,73,0,0,1,361,2
0,68,73,1,2,1,361,3
0,69,74,-1,1,1,361,2
0,70,73,0,0,1,361,2
0,71,73,-1,1,1,361,2
0,72,72,0,0,1,361,2
0,73,72,1,2,1,361,3
0,74,73,1,2,1,361,3
0,75,74,-2,3,1,361,3
0,76,72,-1,1,1,361,2
0,77,71,2,4,1,361,4
0,78,73,0,0,1,361,2
0,79,73,0,0,1,361,2
0,80,73,0,0,1,361,2
0,81,73,-1,1,1,361,2
0,82,72,-1,1,1,361,2
0,83,71,2,4,1,361,4
0,84,73,0,0,1,361,2
0,85,73,0,0,1,361,2
0,86,73,0,0,1,361,2
0,87,73,-1,1,1,361,2
0,88,72,1,2,1,361,3
0,89,73,0,0,1,361,2
0,90,73,1,2,1,361,3
0,91,74,-1,1,1,361,2
0,92,73,1,2,1,361,3
0,93,74,-1,1,1,361,2
0,94,73,-1,1,1,361,2
0,95,72,1,2,1,361,3
0,96,73,1,2,1,361,3
0,97,74,0,0,1,361,2
0,98,74,2,4,1,361,4
0,99,76,-2,3,1,361,3
0,100,74,0,0,1,361,2
0,101,74,1,2,1,361,3
0,102,75,4,8,1,361,6
0,103,79,0,0,1,361,2
0,104,79,1,2,1,361,3
0,105,80,-1,1,1,361,2
0,106,79,-1,1,1,361,2
0,107,78,3,6,1,361,5
0,108,81,1,2,1,361,3
0,109,82,-2,3,1,361,3
0,110,80,0,0,1,361,2
0,111,80,2,4,1,361,4
0,112,82,-1,1,1,361,2
0,113,81,2,4,1,361,4
0,114,83,-3,5,1,361,4
0,115,80,1,2,1,361,3
0,116,81,-1,1,1,361,2
0,117,80,0,0,1,361,2
0,118,80,1,2,1,361,3
0,119,81,-1,1,1,361,2
0,120,80,-1,1,1,361,2
0,121,79,-2,3,1,361,3
0,122,77,-1,1,1,361,2
0,123,76,2,4,1,361,4
0,124,78,-2,3,1,361,3
0,125,76,1,2,1,361,3
0,126,77,0,0,1,361,2
0,127,77,0,0,1,361,2
0,128,77,-1,1,1,361,2
0,129,76,-2,3,1,361,3
0,130,74,1,2,1,361,3
0,131,75,-1,1,1,361,2
0,132,74,-1,1,1,361,2
0,133,73,1,2,1,361,3
0,134,74,-1,1,1,361,2
0,135,73,-1,1,1,361,2
0,136,72,-2,3,1,361,3
0,137,70,0,0,1,361,2
0,138,70,3,6,1,361,5
0,139,73,-3,5,1,361,4
0,140,70,-3,5,1,361,4
0,141,67,2,4,1,361,4
0,142,69,0,0,1,361,2
0,143,69,1,2,1,361,3
0,144,70,-3,5,1,361,4
0,145,67,0,0,1,361,2
0,146,67,0,0,1,361,2
0,147,67,0,0,1,361,2
0,148,67,3,6,1,361,5
0,149,70,0,0,1,361,2
0,150,70,-4,7,1,361,5
0,151,66,3,6,1,361,5
0,152,69,-1,1,1,361,2
0,153,68,0,0,1,361,2
0,154,68,1,2,1,361,3
0,155,69,-3,5,1,361,4
0,156,66,-1,1,1,361,2
0,157,65,3,6,1,361,5
0,158,68,-2,3,1,361,3
0,159,66,0,0,1,361,2
0,160,66,-2,3,1,361,3
0,161,64,0,0,1,361,2
0,162,64,2,4,1,361,4
0,163,66,2,4,1,361,4
0,164,68,-3,5,1,361,4
0,165,65,-3,5,1,361,4
0,166,62,3,6,2,362,4
0,167,65,2,4,1,361,4
0,168,67,-2,3,1,361,3
0,169,65,0,0,1,361,2
0,170,65,1,2,1,361,3
0,171,66,0,0,1,361,2
0,172,66,3,6,1,361,5
0,173,69,2,4,1,361,4
0,174,71,-2,3,1,361,3
0,175,69,2,4,1,361,4
0,176,71,0,0,1,361,2
0,177,71,1,2,1,361,3
0,178,72,0,0,1,361,2
0,179,72,3,6,1,361,5
0,180,75,1,2,1,361,3
0,181,77,-3,5,1,361,4
0,182,74,0,0,1,361,2
